"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Neg","[M-H]-",11.981,885.54913,"PI 18:1_20:3","PI",43506
"Neg","[M-H]-",12.013,897.54938,"PI 19:1_20:4","PI",44101
"Neg","[M-H]-",12.04,847.53333,"PI 17:1_18:1","PI",41436
"Neg","[M-H]-",12.145,909.54889,"PI 18:0_22:6","PI",44719
"Neg","[M-H]-",12.162,857.51239,"PI 16:0_20:4","PI",41986
"Neg","[M-H]-",12.229,883.5401,"PI 16:0_22:5","PI",43396
"Neg","[M-H]-",12.284,911.56512,"PI 18:1_22:4","PI",44820
"Neg","[M-H]-",12.386,809.51782,"PI 16:0_16:0","PI",39219
"Neg","[M-H]-",12.487,835.53357,"PI 16:0_18:1","PI",40711
"Neg","[M-H]-",12.496,911.56488,"PI 18:0_22:5","PI",44819
"Neg","[M-H]-",12.511,885.54907,"PI 18:0_20:4","PI",43505
"Neg","[M-H]-",12.591,861.54901,"PI 18:1_18:1","PI",42202
"Neg","[M-H]-",12.774,887.56476,"PI 18:1_20:2","PI",43611
"Neg","[M-H]-",12.942,861.54889,"PI 18:1_18:1","PI",42201
"Neg","[M-H]-",13.019,887.5647,"PI 18:0_20:3","PI",43610
"Neg","[M-H]-",13.076,849.54877,"PI 17:0_18:1","PI",41566
"Neg","[M-H]-",13.158,875.56549,"PI 18:1_19:1","PI",42996
"Neg","[M-H]-",13.344,913.58057,"PI 18:0_22:4","PI",44923
"Neg","[M-H]-",13.42,887.56482,"PI 18:0_20:3","PI",43612
"Neg","[M-H]-",13.548,875.56464,"PI 18:1_19:1","PI",42995
"Neg","[M-H]-",13.565,837.55005,"PI 16:0_18:0","PI",40847
"Neg","[M-H]-",13.701,863.56458,"PI 18:0_18:1","PI",42327
"Neg","[M-H]-",13.781,889.58032,"PI 18:1_20:1","PI",43736
"Neg","[M-H]-",13.851,889.58038,"PI 18:1_20:1","PI",43737
"Neg","[M-H]-",14.03,863.56476,"PI 18:0_18:1","PI",42328
"Neg","[M-H]-",14.037,915.59595,"PI 18:1_22:2","PI",45016
"Neg","[M-H]-",14.18,889.58063,"PI 18:0_20:2","PI",43738
"Neg","[M-H]-",14.329,915.59595,"PI 18:1_22:2","PI",45015
"Neg","[M-H]-",14.835,865.58038,"PI 18:0_18:0","PI",42440
"Neg","[M-H]-",14.904,891.59583,"PI 18:0_20:1","PI",43844
"Neg","[M-H]-",15.229,917.61218,"PI 18:0_22:2","PI",45117
"Neg","[M-H]-",11.223,806.49713,"PS 16:0_22:6","PS",39000
"Neg","[M-H]-",11.299,832.51276,"PS 18:1_22:6","PS",40513
"Neg","[M-H]-",11.546,732.48193,"PS 16:0_16:1","PS",34454
